location,Basel
lat,47.54694
lon,7.56892
asl,283.697
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20100101T0000,7.1805286
20100101T0100,6.5705285
20100101T0200,5.6805286
20100101T0300,4.5705285
20100101T0400,4.1005287
20100101T0500,4.2605286
20100101T0600,4.9305286
20100101T0700,4.8505287
20100101T0800,4.790529
20100101T0900,4.790529
20100101T1000,5.0205283
20100101T1100,5.5805287
20100101T1200,6.1305285
20100101T1300,6.1505284
20100101T1400,5.3005285
20100101T1500,5.4505286
20100101T1600,4.8705287
20100101T1700,4.4605284
20100101T1800,4.2405286
20100101T1900,3.7505286
20100101T2000,3.6005285
20100101T2100,2.9105287
20100101T2200,2.4005284
20100101T2300,2.6005285
20100102T0000,1.3405286
20100102T0100,0.60052866
20100102T0200,0.48052865
20100102T0300,-0.26947135
20100102T0400,-0.6694713
20100102T0500,-0.28947133
20100102T0600,-1.3594713
20100102T0700,-1.1894714
20100102T0800,-1.4794713
20100102T0900,-2.2494714
20100102T1000,-2.4094715
20100102T1100,-1.7594713
20100102T1200,-1.1694714
20100102T1300,-0.50947136
20100102T1400,0.23052865
20100102T1500,0.74052864
20100102T1600,0.8905287
20100102T1700,0.60052866
20100102T1800,-0.29947135
20100102T1900,-1.1994714
20100102T2000,-1.7594713
20100102T2100,-2.0394714
20100102T2200,-2.5294714
20100102T2300,-2.9594715
20100103T0000,-2.7394714
20100103T0100,-2.5894713
20100103T0200,-2.4294715
20100103T0300,-2.6594715
20100103T0400,-2.8494716
20100103T0500,-3.1394715
20100103T0600,-2.5094714
20100103T0700,-2.5394714
20100103T0800,-2.5994716
20100103T0900,-2.7994714
20100103T1000,-2.7794714
20100103T1100,-1.9294714
20100103T1200,-0.6794713
20100103T1300,0.44052866
20100103T1400,1.1005287
20100103T1500,1.6505287
20100103T1600,1.9105287
20100103T1700,1.7805287
20100103T1800,1.5905286
20100103T1900,1.5305287
20100103T2000,1.0205287
20100103T2100,0.41052866
20100103T2200,-0.069471344
20100103T2300,-0.5394713
20100104T0000,-0.96947134
20100104T0100,-1.6594714
20100104T0200,-2.4594715
20100104T0300,-3.3494716
20100104T0400,-3.6494715
20100104T0500,-3.7894714
20100104T0600,-5.1594715
20100104T0700,-5.2794714
20100104T0800,-5.3894715
20100104T0900,-5.4994717
20100104T1000,-5.3594713
20100104T1100,-4.459471
20100104T1200,-3.3294713
20100104T1300,-2.4594715
20100104T1400,-1.3694713
20100104T1500,-0.5394713
20100104T1600,-0.25947133
20100104T1700,-0.5394713
20100104T1800,-1.5594714
20100104T1900,-2.5894713
20100104T2000,-3.3994715
20100104T2100,-3.9394715
20100104T2200,-4.3594713
20100104T2300,-4.3194714
20100105T0000,-4.0394716
20100105T0100,-3.8494716
20100105T0200,-3.7794714
20100105T0300,-3.7294714
20100105T0400,-3.7994714
20100105T0500,-3.9794717
20100105T0600,-7.1094713
20100105T0700,-6.5794716
20100105T0800,-6.8694715
20100105T0900,-6.7194715
20100105T1000,-6.0594716
20100105T1100,-4.459471
20100105T1200,-2.5894713
20100105T1300,-1.4394714
20100105T1400,-1.6794714
20100105T1500,-1.1394713
20100105T1600,-0.6794713
20100105T1700,-0.41947132
20100105T1800,-0.65947133
20100105T1900,-1.4894713
20100105T2000,-1.6994714
20100105T2100,-1.9894713
20100105T2200,-2.5294714
20100105T2300,-2.7094715
20100106T0000,-2.7594714
20100106T0100,-2.6294715
20100106T0200,-2.1994715
20100106T0300,-1.8894713
20100106T0400,-1.9594713
20100106T0500,-2.1294715
20100106T0600,-4.1294713
20100106T0700,-3.7094715
20100106T0800,-3.6594715
20100106T0900,-3.8694715
20100106T1000,-3.7294714
20100106T1100,-3.3594716
20100106T1200,-2.1894715
20100106T1300,-0.90947133
20100106T1400,-0.09947134
20100106T1500,0.5205287
20100106T1600,1.1705287
20100106T1700,0.7605287
20100106T1800,0.09052865
20100106T1900,-0.84947133
20100106T2000,-2.3494716
20100106T2100,-2.9894714
20100106T2200,-3.0994716
20100106T2300,-3.0894713
20100107T0000,-1.9494714
20100107T0100,-1.5394714
20100107T0200,-0.95947134
20100107T0300,-1.1794714
20100107T0400,-2.2894714
20100107T0500,-2.6194715
20100107T0600,-1.9694713
20100107T0700,-2.3894715
20100107T0800,-2.7694714
20100107T0900,-2.7194715
20100107T1000,-2.7294714
20100107T1100,-1.9194714
20100107T1200,0.0005286578
20100107T1300,2.0105286
20100107T1400,3.4205287
20100107T1500,4.000529
20100107T1600,4.2505283
20100107T1700,4.1605287
20100107T1800,2.8005285
20100107T1900,1.6805286
20100107T2000,1.0305287
20100107T2100,0.56052864
20100107T2200,0.34052867
20100107T2300,-0.33947134
20100108T0000,-1.1294713
20100108T0100,-1.5194713
20100108T0200,-1.6294713
20100108T0300,-1.6894714
20100108T0400,-1.5894713
20100108T0500,-1.3894713
20100108T0600,-1.6894714
20100108T0700,-1.5394714
20100108T0800,-1.7594713
20100108T0900,-1.2394713
20100108T1000,-0.71947134
20100108T1100,0.23052865
20100108T1200,1.0805286
20100108T1300,0.5705287
20100108T1400,1.1205287
20100108T1500,2.3505285
20100108T1600,2.9105287
20100108T1700,2.0505285
20100108T1800,0.98052865
20100108T1900,0.5205287
20100108T2000,-0.25947133
20100108T2100,-0.62947136
20100108T2200,-1.9394714
20100108T2300,-2.0094714
20100109T0000,-2.2494714
20100109T0100,-2.3694715
20100109T0200,-2.4394715
20100109T0300,-2.6394715
20100109T0400,-2.8894715
20100109T0500,-3.0494714
20100109T0600,-2.6694715
20100109T0700,-1.9794713
20100109T0800,-2.1194715
20100109T0900,-2.0494714
20100109T1000,-1.4594713
20100109T1100,-0.82947135
20100109T1200,-0.5594713
20100109T1300,-0.57947135
20100109T1400,-0.45947134
20100109T1500,-0.14947134
20100109T1600,-0.059471346
20100109T1700,-0.34947133
20100109T1800,-1.3094714
20100109T1900,-1.3494713
20100109T2000,-1.6194713
20100109T2100,-2.0694714
20100109T2200,-2.1894715
20100109T2300,-2.6294715
20100110T0000,-2.9594715
20100110T0100,-3.2694714
20100110T0200,-3.3894715
20100110T0300,-3.5094714
20100110T0400,-3.8194714
20100110T0500,-3.9894714
20100110T0600,-3.1694715
20100110T0700,-3.5294714
20100110T0800,-3.5994716
20100110T0900,-3.8494716
20100110T1000,-4.0294714
20100110T1100,-3.7094715
20100110T1200,-3.1194715
20100110T1300,-2.5094714
20100110T1400,-1.8294713
20100110T1500,-1.4194714
20100110T1600,-1.2994714
20100110T1700,-1.4294714
20100110T1800,-2.6594715
20100110T1900,-3.6194715
20100110T2000,-4.8694715
20100110T2100,-4.6694713
20100110T2200,-4.2394714
20100110T2300,-4.2594714
20100111T0000,-4.2894716
20100111T0100,-4.4494715
20100111T0200,-4.6094713
20100111T0300,-5.0694714
20100111T0400,-5.7294717
20100111T0500,-5.3794713
20100111T0600,-6.7394714
20100111T0700,-6.6994715
20100111T0800,-7.0094714
20100111T0900,-7.7394714
20100111T1000,-7.2694716
20100111T1100,-5.9194713
20100111T1200,-4.209471
20100111T1300,-3.0794713
20100111T1400,-2.0794713
20100111T1500,-1.6194713
20100111T1600,-1.6194713
20100111T1700,-1.7394713
20100111T1800,-1.9394714
20100111T1900,-2.0694714
20100111T2000,-2.3994715
20100111T2100,-2.3294713
20100111T2200,-2.3794715
20100111T2300,-2.3994715
20100112T0000,-2.3794715
20100112T0100,-2.6494715
20100112T0200,-2.7394714
20100112T0300,-2.8994715
20100112T0400,-2.9594715
20100112T0500,-2.9794714
20100112T0600,-3.5294714
20100112T0700,-4.6994715
20100112T0800,-4.7394714
20100112T0900,-4.7794714
20100112T1000,-4.6794715
20100112T1100,-3.6094716
20100112T1200,-2.5094714
20100112T1300,-0.50947136
20100112T1400,0.53052866
20100112T1500,1.1605287
20100112T1600,1.3705287
20100112T1700,1.1805286
20100112T1800,-0.14947134
20100112T1900,-1.6694714
20100112T2000,-2.5994716
20100112T2100,-2.6094716
20100112T2200,-1.4594713
20100112T2300,-1.3694713
20100113T0000,-1.4594713
20100113T0100,-1.1694714
20100113T0200,-0.6094713
20100113T0300,-0.25947133
20100113T0400,-0.16947135
20100113T0500,0.08052866
20100113T0600,-1.2494713
20100113T0700,-0.36947134
20100113T0800,-0.63947135
20100113T0900,-0.13947135
20100113T1000,0.40052867
20100113T1100,0.9505287
20100113T1200,1.0805286
20100113T1300,1.8305286
20100113T1400,2.1505284
20100113T1500,2.6205285
20100113T1600,3.0605285
20100113T1700,3.8105285
20100113T1800,4.2805285
20100113T1900,3.7605286
20100113T2000,3.2405286
20100113T2100,3.3505285
20100113T2200,3.2905285
20100113T2300,3.5905285
20100114T0000,3.9105287
20100114T0100,4.290529
20100114T0200,3.5105286
20100114T0300,2.2505286
20100114T0400,1.7905287
20100114T0500,1.1705287
20100114T0600,0.020528657
20100114T0700,-0.17947134
20100114T0800,0.35052866
20100114T0900,-0.11947135
20100114T1000,0.34052867
20100114T1100,1.6905286
20100114T1200,2.6405284
20100114T1300,4.4105287
20100114T1400,4.6605287
20100114T1500,-0.6794713
20100114T1600,1.5505286
20100114T1700,2.7405286
20100114T1800,2.1305285
20100114T1900,1.3805287
20100114T2000,0.90052867
20100114T2100,0.49052867
20100114T2200,0.59052867
20100114T2300,0.5705287
20100115T0000,0.35052866
20100115T0100,0.17052865
20100115T0200,-0.04947134
20100115T0300,0.0005286578
20100115T0400,-0.30947134
20100115T0500,-0.5494713
20100115T0600,-1.1594714
20100115T0700,-1.0894713
20100115T0800,-1.0794713
20100115T0900,-1.0894713
20100115T1000,-0.48947132
20100115T1100,1.2505287
20100115T1200,3.6805286
20100115T1300,5.4905286
20100115T1400,4.0505285
20100115T1500,4.3405285
20100115T1600,5.3705287
20100115T1700,5.2805285
20100115T1800,4.0505285
20100115T1900,3.0305285
20100115T2000,2.5505285
20100115T2100,2.2905285
20100115T2200,2.2705286
